City Name,Month,Day of Week,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Time Period,Is_Weekend,Is_Peak_Hour,Bad_Weather_Flag,Road_Risk_Score,Urban_or_Rural
Other,August,Tuesday,1,4,Cycle,5,3,Stormy,State Highway,Dry,Dusk,Signals,65,49,Female,Expired,Yes,Intersection,Morning,0,1,0,0,0
Other,January,Saturday,2,1,Bus,9,5,Foggy,State Highway,Under Construction,Dawn,Signals,106,38,Female,Unknown,Yes,Straight Road,Afternoon,1,0,1,0,0
Other,July,Friday,2,5,Cycle,2,2,Rainy,Village Road,Dry,Dark,Signals,93,43,Male,Expired,Yes,Intersection,Afternoon,0,0,1,0,0
Other,June,Wednesday,0,1,Truck,1,1,Rainy,Village Road,Wet,Dusk,Unknown,75,62,Male,Valid,No,Bridge,Afternoon,0,0,1,1,0
Mysore,July,Wednesday,0,3,Cycle,7,0,Clear,National Highway,Wet,Dusk,Signs,47,61,Female,Unknown,No,Bridge,Evening,0,1,0,1,0
Other,December,Friday,1,5,Pedestrian,10,4,Hazy,Urban Road,Dry,Dark,Unknown,79,52,Male,Unknown,No,Intersection,Night,0,0,0,0,0
Other,September,Monday,2,1,Pedestrian,8,0,Clear,Village Road,Dry,Dusk,Signals,84,32,Female,Valid,No,Curve,Afternoon,0,0,0,0,0
Other,March,Sunday,0,2,Bus,0,0,Clear,Urban Road,Damaged,Dusk,Signs,108,45,Male,Valid,No,Bridge,Afternoon,1,0,0,1,0
Lucknow,November,Wednesday,1,4,Truck,1,0,Clear,Urban Road,Wet,Daylight,Unknown,66,49,Male,Unknown,Yes,Straight Road,Morning,0,1,0,1,0
Other,August,Friday,0,1,Truck,7,5,Clear,Urban Road,Dry,Dark,Signals,94,31,Male,Expired,Yes,Intersection,Afternoon,0,0,0,0,0
Other,February,Tuesday,2,5,Pedestrian,4,1,Hazy,National Highway,Under Construction,Daylight,Police Checkpost,110,57,Male,Unknown,No,Curve,Night,0,0,0,0,0
Other,February,Thursday,2,4,Car,10,3,Rainy,National Highway,Dry,Dawn,Unknown,104,67,Male,Valid,Yes,Intersection,Morning,0,1,1,0,0
Other,August,Tuesday,1,5,Two-Wheeler,8,3,Stormy,Village Road,Wet,Dusk,Police Checkpost,116,67,Male,Expired,No,Straight Road,Night,0,0,0,1,0
Other,July,Monday,0,3,Cycle,1,4,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,35,51,Female,Expired,Yes,Straight Road,Night,0,0,0,0,0
Other,December,Thursday,1,1,Auto-Rickshaw,9,2,Hazy,Village Road,Under Construction,Daylight,Police Checkpost,61,32,Male,Expired,Yes,Straight Road,Evening,0,1,0,0,0
Other,July,Wednesday,2,4,Pedestrian,3,0,Clear,National Highway,Under Construction,Dark,Signals,62,63,Female,Expired,Yes,Curve,Afternoon,0,0,0,0,0
Other,April,Wednesday,1,1,Truck,9,1,Rainy,Village Road,Wet,Dusk,Police Checkpost,90,19,Male,Valid,No,Intersection,Evening,0,1,1,1,0
Other,July,Tuesday,0,3,Auto-Rickshaw,5,5,Rainy,Village Road,Dry,Dusk,Signs,73,51,Female,Valid,No,Curve,Afternoon,0,0,1,0,0
Other,November,Wednesday,2,2,Bus,3,5,Stormy,National Highway,Dry,Daylight,Signs,75,26,Male,Expired,No,Curve,Night,0,0,0,0,0
Other,February,Sunday,1,4,Bus,10,4,Hazy,National Highway,Damaged,Dawn,Signs,120,35,Male,Expired,No,Intersection,Afternoon,1,0,0,1,0
Other,July,Saturday,2,2,Truck,8,0,Foggy,Village Road,Wet,Dusk,Unknown,69,38,Female,Unknown,No,Straight Road,Morning,1,1,1,1,0
Other,February,Wednesday,0,4,Auto-Rickshaw,6,4,Hazy,Village Road,Damaged,Daylight,Unknown,51,68,Female,Unknown,No,Intersection,Evening,0,1,0,1,0
Other,June,Thursday,0,2,Two-Wheeler,1,3,Hazy,State Highway,Wet,Daylight,Signals,33,44,Female,Valid,Yes,Straight Road,Morning,0,1,0,1,0
Other,August,Monday,1,2,Auto-Rickshaw,9,1,Clear,National Highway,Damaged,Dusk,Signs,51,25,Male,Expired,No,Curve,Night,0,0,0,1,0
Other,November,Friday,1,2,Cycle,2,4,Rainy,State Highway,Dry,Daylight,Signals,56,22,Male,Expired,Yes,Bridge,Evening,0,1,1,0,0
Other,June,Thursday,0,2,Auto-Rickshaw,1,0,Rainy,Village Road,Under Construction,Dusk,Signs,54,19,Female,Unknown,Yes,Bridge,Evening,0,1,1,0,0
Lucknow,May,Tuesday,1,3,Pedestrian,0,2,Clear,State Highway,Wet,Dark,Signals,89,27,Male,Expired,No,Bridge,Morning,0,1,0,1,0
Other,November,Friday,1,1,Car,8,0,Foggy,State Highway,Under Construction,Dusk,Unknown,102,61,Female,Valid,Yes,Intersection,Morning,0,1,1,0,0
Other,March,Wednesday,0,1,Pedestrian,1,2,Clear,Village Road,Dry,Dawn,Signals,110,25,Female,Expired,Yes,Straight Road,Morning,0,1,0,0,0
Other,April,Wednesday,0,5,Car,5,3,Foggy,Village Road,Wet,Dark,Police Checkpost,116,44,Male,Valid,Yes,Curve,Night,0,0,1,1,0
Mangalore,February,Wednesday,1,4,Cycle,2,2,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,60,38,Female,Valid,Yes,Bridge,Night,0,0,0,0,0
Ahmedabad,January,Friday,2,4,Two-Wheeler,8,5,Foggy,Urban Road,Under Construction,Dark,Police Checkpost,100,43,Male,Unknown,Yes,Straight Road,Afternoon,0,0,1,0,0
Other,April,Monday,0,4,Two-Wheeler,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,118,62,Male,Expired,No,Bridge,Afternoon,0,0,1,0,0
Other,March,Monday,0,3,Pedestrian,4,1,Stormy,State Highway,Wet,Daylight,Signals,43,25,Male,Unknown,No,Straight Road,Morning,0,1,0,1,0
Coimbatore,August,Sunday,2,2,Cycle,1,1,Clear,National Highway,Dry,Dawn,Police Checkpost,40,68,Male,Unknown,No,Curve,Afternoon,1,0,0,0,0
Other,January,Tuesday,1,5,Auto-Rickshaw,5,3,Stormy,National Highway,Damaged,Dusk,Police Checkpost,62,36,Male,Valid,No,Intersection,Night,0,0,0,1,0
Other,August,Friday,0,2,Bus,0,3,Rainy,Urban Road,Wet,Dark,Signs,32,43,Female,Valid,Yes,Bridge,Morning,0,1,1,1,0
Other,September,Tuesday,0,3,Car,10,1,Stormy,Urban Road,Damaged,Dark,Unknown,111,28,Female,Valid,Yes,Curve,Evening,0,1,0,1,0
Other,May,Friday,0,1,Pedestrian,8,4,Hazy,Urban Road,Dry,Daylight,Signs,51,30,Male,Unknown,No,Bridge,Night,0,0,0,0,0
Other,January,Friday,1,1,Auto-Rickshaw,1,4,Foggy,National Highway,Dry,Dawn,Signals,40,42,Female,Unknown,No,Bridge,Night,0,0,1,0,0
Tirupati,May,Monday,2,1,Cycle,0,2,Hazy,Village Road,Dry,Dusk,Signals,84,27,Male,Unknown,No,Straight Road,Morning,0,1,0,0,0
Other,April,Monday,1,2,Car,1,1,Clear,Village Road,Damaged,Dawn,Police Checkpost,49,49,Male,Valid,Yes,Bridge,Afternoon,0,0,0,1,0
Other,June,Monday,1,3,Bus,5,5,Stormy,State Highway,Dry,Dark,Unknown,60,56,Female,Expired,No,Bridge,Night,0,0,0,0,0
Varanasi,February,Wednesday,2,3,Truck,3,5,Foggy,Village Road,Damaged,Dawn,Signs,70,25,Female,Valid,Yes,Straight Road,Night,0,0,1,1,0
Durgapur,September,Monday,2,2,Pedestrian,3,5,Stormy,National Highway,Dry,Dusk,Police Checkpost,41,61,Male,Expired,Yes,Straight Road,Afternoon,0,0,0,0,0
Other,May,Monday,1,2,Car,3,0,Clear,State Highway,Damaged,Daylight,Police Checkpost,47,34,Female,Unknown,Yes,Intersection,Night,0,0,0,1,0
Siliguri,January,Tuesday,2,1,Car,10,3,Rainy,Village Road,Under Construction,Daylight,Police Checkpost,106,34,Male,Valid,Yes,Straight Road,Night,0,0,1,0,0
Rohini,January,Wednesday,2,4,Cycle,8,3,Stormy,State Highway,Under Construction,Dark,Signals,77,67,Male,Valid,No,Intersection,Night,0,0,0,0,0
Ahmedabad,June,Sunday,1,3,Truck,10,3,Rainy,National Highway,Under Construction,Daylight,Unknown,66,47,Female,Unknown,No,Straight Road,Evening,1,1,1,0,0
Other,January,Thursday,1,2,Bus,1,2,Rainy,Urban Road,Under Construction,Dusk,Police Checkpost,90,19,Male,Valid,No,Bridge,Morning,0,1,1,0,0
Other,December,Monday,0,2,Truck,1,0,Hazy,Urban Road,Under Construction,Daylight,Signals,67,70,Female,Valid,No,Intersection,Night,0,0,0,0,0
Other,November,Wednesday,1,4,Cycle,5,3,Hazy,National Highway,Dry,Dusk,Police Checkpost,65,18,Male,Valid,No,Bridge,Afternoon,0,0,0,0,0
Other,May,Wednesday,2,2,Bus,6,3,Foggy,National Highway,Dry,Daylight,Signs,53,44,Female,Unknown,Yes,Bridge,Morning,0,1,1,0,0
Other,September,Tuesday,0,3,Pedestrian,0,4,Hazy,Urban Road,Wet,Dusk,Signs,69,29,Female,Valid,Yes,Curve,Night,0,0,0,1,0
Other,August,Friday,2,1,Cycle,8,5,Foggy,Urban Road,Under Construction,Dawn,Signs,84,69,Male,Valid,No,Intersection,Night,0,0,1,0,0
Other,November,Thursday,1,2,Bus,1,0,Rainy,State Highway,Under Construction,Dawn,Unknown,41,28,Female,Valid,Yes,Curve,Afternoon,0,0,1,0,0
Mysore,June,Sunday,0,2,Truck,8,0,Stormy,Village Road,Dry,Dusk,Police Checkpost,48,67,Female,Valid,No,Straight Road,Afternoon,1,0,0,0,0
Other,July,Saturday,1,3,Two-Wheeler,7,3,Stormy,National Highway,Damaged,Daylight,Unknown,109,68,Male,Valid,No,Bridge,Afternoon,1,0,0,1,0
Other,May,Tuesday,0,4,Car,1,5,Stormy,Village Road,Dry,Dark,Signals,72,40,Female,Valid,Yes,Straight Road,Night,0,0,0,0,0
Other,July,Monday,1,2,Truck,4,2,Hazy,National Highway,Wet,Daylight,Unknown,94,68,Female,Valid,No,Curve,Afternoon,0,0,0,1,0
Jodhpur,September,Tuesday,1,1,Cycle,0,2,Stormy,Village Road,Dry,Dawn,Signals,50,32,Female,Expired,No,Intersection,Night,0,0,0,0,0
Other,October,Saturday,2,2,Bus,9,4,Rainy,Village Road,Dry,Daylight,Police Checkpost,35,18,Male,Expired,No,Curve,Night,1,0,1,0,0
Other,October,Tuesday,1,1,Two-Wheeler,8,4,Clear,Urban Road,Damaged,Dawn,Unknown,39,58,Male,Valid,Yes,Intersection,Afternoon,0,0,0,1,0
Other,November,Friday,2,5,Truck,9,2,Stormy,State Highway,Under Construction,Daylight,Police Checkpost,106,47,Male,Unknown,Yes,Curve,Morning,0,1,0,0,0
Other,June,Monday,0,5,Auto-Rickshaw,5,1,Clear,Village Road,Under Construction,Dawn,Signals,113,53,Female,Valid,Yes,Bridge,Evening,0,1,0,0,0
Other,March,Friday,1,2,Auto-Rickshaw,3,2,Hazy,National Highway,Damaged,Daylight,Unknown,64,43,Male,Valid,Yes,Intersection,Morning,0,1,0,1,0
Other,October,Tuesday,1,4,Auto-Rickshaw,7,4,Foggy,National Highway,Damaged,Daylight,Unknown,108,31,Female,Valid,No,Intersection,Morning,0,1,1,1,0
Other,December,Monday,2,1,Auto-Rickshaw,10,4,Hazy,Village Road,Dry,Daylight,Police Checkpost,94,70,Male,Expired,No,Straight Road,Morning,0,1,0,0,0
Tirupati,April,Thursday,0,5,Two-Wheeler,6,4,Clear,State Highway,Wet,Dusk,Unknown,115,48,Female,Valid,Yes,Intersection,Evening,0,1,0,1,0
Other,March,Friday,2,3,Car,2,4,Hazy,National Highway,Under Construction,Daylight,Signs,31,27,Male,Unknown,Yes,Straight Road,Night,0,0,0,0,0
Coimbatore,March,Wednesday,1,1,Auto-Rickshaw,2,3,Hazy,National Highway,Wet,Dusk,Signals,80,48,Female,Unknown,Yes,Straight Road,Morning,0,1,0,1,0
Other,March,Tuesday,2,2,Auto-Rickshaw,10,0,Stormy,Village Road,Under Construction,Dawn,Unknown,96,28,Female,Unknown,No,Straight Road,Morning,0,1,0,0,0
Other,March,Wednesday,0,2,Two-Wheeler,4,0,Rainy,Urban Road,Wet,Daylight,Unknown,71,20,Male,Unknown,Yes,Intersection,Morning,0,1,1,1,0
Pune,June,Friday,1,2,Cycle,3,1,Rainy,Urban Road,Wet,Daylight,Signs,91,47,Female,Expired,Yes,Curve,Morning,0,1,1,1,0
Mangalore,February,Monday,1,3,Bus,2,0,Foggy,National Highway,Wet,Dusk,Unknown,55,37,Female,Expired,Yes,Bridge,Morning,0,1,1,1,0
Vijayawada,May,Thursday,0,3,Auto-Rickshaw,5,4,Foggy,National Highway,Wet,Dusk,Signs,85,29,Female,Expired,Yes,Intersection,Evening,0,1,1,1,0
Other,January,Wednesday,0,2,Bus,7,0,Clear,Urban Road,Under Construction,Daylight,Signs,62,70,Male,Expired,No,Intersection,Morning,0,1,0,0,0
Other,May,Thursday,0,1,Auto-Rickshaw,3,3,Rainy,Urban Road,Under Construction,Daylight,Signs,83,70,Male,Valid,No,Straight Road,Morning,0,1,1,0,0
Other,January,Saturday,1,3,Two-Wheeler,9,4,Hazy,Urban Road,Under Construction,Dusk,Signals,31,43,Female,Unknown,No,Intersection,Evening,1,1,0,0,0
Other,June,Thursday,0,4,Two-Wheeler,3,0,Clear,Village Road,Damaged,Dusk,Police Checkpost,119,66,Male,Valid,Yes,Straight Road,Morning,0,1,0,1,0
Other,October,Sunday,0,3,Bus,1,0,Hazy,National Highway,Dry,Dusk,Signs,55,51,Male,Valid,No,Bridge,Morning,1,1,0,0,0
Other,July,Sunday,1,2,Two-Wheeler,3,5,Hazy,Village Road,Damaged,Dusk,Police Checkpost,67,59,Female,Valid,Yes,Intersection,Afternoon,1,0,0,1,0
Other,September,Tuesday,2,4,Pedestrian,6,0,Rainy,Urban Road,Damaged,Daylight,Signs,105,45,Female,Unknown,Yes,Straight Road,Morning,0,1,1,1,0
Jaipur,June,Friday,0,5,Car,7,0,Rainy,National Highway,Dry,Dusk,Signals,99,21,Male,Valid,No,Curve,Afternoon,0,0,1,0,0
Surat,March,Monday,2,3,Cycle,9,3,Rainy,Village Road,Under Construction,Dusk,Police Checkpost,48,45,Female,Expired,No,Straight Road,Afternoon,0,0,1,0,0
Mysore,August,Thursday,2,5,Two-Wheeler,6,4,Foggy,State Highway,Dry,Daylight,Unknown,96,27,Male,Unknown,No,Intersection,Afternoon,0,0,1,0,0
Other,November,Monday,2,5,Pedestrian,5,1,Rainy,Urban Road,Dry,Daylight,Unknown,103,51,Female,Valid,No,Intersection,Morning,0,1,1,0,0
Other,March,Friday,1,2,Pedestrian,9,3,Stormy,Village Road,Under Construction,Daylight,Unknown,55,36,Female,Expired,No,Straight Road,Evening,0,1,0,0,0
Other,April,Friday,2,5,Bus,8,3,Foggy,National Highway,Damaged,Dusk,Unknown,68,57,Female,Valid,No,Straight Road,Evening,0,1,1,1,0
Other,September,Monday,1,3,Pedestrian,1,0,Foggy,National Highway,Damaged,Dark,Signals,66,33,Male,Valid,No,Curve,Afternoon,0,0,1,1,0
Other,November,Monday,2,2,Bus,7,1,Clear,Village Road,Wet,Dawn,Signs,70,69,Male,Unknown,No,Bridge,Morning,0,1,0,1,0
Kolkata,December,Saturday,1,5,Two-Wheeler,3,3,Foggy,National Highway,Damaged,Daylight,Signals,102,53,Female,Valid,No,Bridge,Morning,1,1,1,1,0
Other,November,Wednesday,0,1,Two-Wheeler,1,3,Stormy,Urban Road,Damaged,Dark,Unknown,107,62,Female,Expired,Yes,Straight Road,Night,0,0,0,1,0
Other,December,Monday,2,1,Two-Wheeler,4,4,Hazy,State Highway,Under Construction,Daylight,Unknown,87,53,Female,Unknown,No,Intersection,Night,0,0,0,0,0
Other,May,Wednesday,2,2,Car,9,2,Foggy,Urban Road,Under Construction,Dawn,Signs,90,39,Female,Unknown,No,Intersection,Morning,0,1,1,0,0
Other,December,Sunday,1,2,Two-Wheeler,1,0,Foggy,State Highway,Dry,Dawn,Signs,58,35,Male,Unknown,No,Curve,Afternoon,1,0,1,0,0
Other,March,Thursday,1,5,Auto-Rickshaw,6,5,Clear,State Highway,Wet,Dark,Unknown,95,47,Female,Unknown,No,Curve,Afternoon,0,0,0,1,0
Other,March,Wednesday,2,5,Car,5,5,Clear,Village Road,Wet,Dusk,Unknown,58,35,Female,Unknown,Yes,Curve,Morning,0,1,0,1,0
Other,April,Monday,1,2,Cycle,10,1,Foggy,Urban Road,Under Construction,Dusk,Unknown,98,44,Female,Unknown,No,Bridge,Morning,0,1,1,0,0
New Delhi,April,Monday,2,3,Cycle,2,2,Stormy,National Highway,Dry,Dark,Signals,80,20,Male,Valid,Yes,Curve,Afternoon,0,0,0,0,0
Other,March,Tuesday,0,1,Truck,9,3,Rainy,Village Road,Damaged,Dark,Police Checkpost,96,28,Male,Valid,Yes,Straight Road,Evening,0,1,1,1,0
Other,December,Monday,2,4,Two-Wheeler,4,4,Rainy,State Highway,Wet,Dark,Signals,39,27,Male,Expired,Yes,Curve,Morning,0,1,1,1,0
Siliguri,April,Tuesday,0,4,Pedestrian,0,5,Foggy,National Highway,Damaged,Dark,Unknown,51,54,Female,Valid,Yes,Bridge,Night,0,0,1,1,0
Other,January,Wednesday,1,3,Bus,2,5,Rainy,Village Road,Dry,Dusk,Signals,46,43,Male,Expired,No,Straight Road,Morning,0,1,1,0,0
Other,October,Tuesday,2,1,Truck,3,0,Clear,National Highway,Dry,Dusk,Signs,75,56,Male,Valid,No,Intersection,Night,0,0,0,0,0
Other,January,Wednesday,2,4,Two-Wheeler,8,0,Clear,Urban Road,Dry,Dusk,Unknown,68,59,Male,Expired,No,Bridge,Night,0,0,0,0,0
Other,February,Thursday,0,5,Car,9,5,Rainy,State Highway,Damaged,Dawn,Signs,107,48,Male,Unknown,No,Straight Road,Night,0,0,1,1,0
Other,September,Tuesday,1,5,Two-Wheeler,1,0,Stormy,Village Road,Under Construction,Daylight,Signs,80,57,Male,Valid,Yes,Curve,Night,0,0,0,0,0
Other,April,Saturday,0,4,Bus,9,4,Foggy,Urban Road,Under Construction,Daylight,Unknown,115,22,Male,Expired,No,Intersection,Night,1,0,1,0,0
Other,March,Sunday,1,2,Truck,2,0,Hazy,State Highway,Damaged,Dusk,Unknown,44,54,Male,Unknown,No,Curve,Evening,1,1,0,1,0
Other,February,Saturday,0,1,Truck,5,0,Hazy,National Highway,Wet,Dusk,Signals,67,25,Male,Valid,Yes,Straight Road,Morning,1,1,0,1,0
Other,May,Tuesday,1,1,Truck,5,5,Clear,Village Road,Under Construction,Daylight,Signals,97,55,Female,Valid,Yes,Curve,Night,0,0,0,0,0
Other,December,Sunday,1,5,Bus,6,5,Hazy,Urban Road,Dry,Dawn,Signs,79,65,Female,Unknown,Yes,Curve,Afternoon,1,0,0,0,0
Kolkata,October,Thursday,0,3,Car,10,4,Hazy,State Highway,Dry,Dark,Unknown,63,27,Female,Expired,No,Straight Road,Night,0,0,0,0,0
Other,January,Tuesday,2,5,Two-Wheeler,9,2,Foggy,Urban Road,Dry,Dark,Signals,84,39,Male,Valid,Yes,Bridge,Morning,0,1,1,0,0
Other,April,Thursday,1,3,Bus,1,3,Foggy,National Highway,Dry,Dusk,Signs,43,65,Male,Valid,No,Intersection,Night,0,0,1,0,0
Other,July,Tuesday,2,2,Car,9,4,Hazy,State Highway,Dry,Dusk,Police Checkpost,39,27,Female,Expired,Yes,Bridge,Afternoon,0,0,0,0,0
Other,January,Wednesday,2,3,Cycle,4,4,Clear,Village Road,Dry,Dark,Signals,35,62,Male,Valid,No,Bridge,Morning,0,1,0,0,0
Other,October,Monday,0,4,Truck,2,3,Rainy,State Highway,Damaged,Daylight,Unknown,32,24,Female,Expired,Yes,Curve,Night,0,0,1,1,0
Other,June,Saturday,0,4,Truck,9,1,Hazy,Village Road,Wet,Dusk,Signals,95,18,Female,Expired,No,Intersection,Morning,1,1,0,1,0
Other,September,Thursday,0,3,Two-Wheeler,4,2,Stormy,National Highway,Wet,Dark,Police Checkpost,82,54,Male,Valid,No,Straight Road,Morning,0,1,0,1,0
Other,January,Tuesday,0,5,Cycle,6,5,Stormy,Urban Road,Wet,Dusk,Signs,101,25,Male,Unknown,Yes,Bridge,Night,0,0,0,1,0
Other,April,Sunday,1,2,Pedestrian,8,5,Foggy,Urban Road,Dry,Daylight,Police Checkpost,51,40,Female,Unknown,No,Intersection,Night,1,0,1,0,0
Other,February,Friday,1,1,Two-Wheeler,0,3,Stormy,National Highway,Wet,Dusk,Unknown,88,67,Male,Expired,Yes,Bridge,Morning,0,1,0,1,0
Other,February,Monday,1,1,Two-Wheeler,8,0,Stormy,National Highway,Wet,Dark,Police Checkpost,107,67,Female,Unknown,Yes,Straight Road,Evening,0,1,0,1,0
Vadodara,April,Wednesday,1,5,Bus,7,3,Rainy,Village Road,Wet,Dark,Police Checkpost,33,43,Female,Expired,Yes,Straight Road,Morning,0,1,1,1,0
Other,January,Monday,0,4,Two-Wheeler,4,2,Stormy,Village Road,Under Construction,Dusk,Signals,120,33,Female,Unknown,No,Curve,Morning,0,1,0,0,0
Mysore,February,Monday,0,2,Car,7,0,Stormy,Village Road,Wet,Dusk,Signals,72,22,Male,Valid,No,Bridge,Morning,0,1,0,1,0
Vadodara,January,Thursday,2,2,Bus,4,3,Hazy,Urban Road,Damaged,Dawn,Signals,92,63,Male,Valid,No,Intersection,Night,0,0,0,1,0
Other,December,Tuesday,1,1,Auto-Rickshaw,8,4,Stormy,Urban Road,Wet,Daylight,Unknown,63,31,Male,Unknown,No,Straight Road,Morning,0,1,0,1,0
Dwarka,May,Friday,1,3,Truck,8,2,Hazy,Village Road,Under Construction,Dusk,Signs,66,22,Female,Valid,No,Intersection,Evening,0,1,0,0,0
Other,December,Thursday,2,1,Auto-Rickshaw,9,3,Rainy,Urban Road,Under Construction,Dusk,Signals,69,30,Male,Unknown,No,Curve,Afternoon,0,0,1,0,0
Other,December,Thursday,0,4,Pedestrian,5,3,Stormy,Village Road,Wet,Dark,Signs,59,64,Male,Unknown,No,Straight Road,Afternoon,0,0,0,1,0
Other,January,Thursday,1,5,Pedestrian,6,0,Foggy,Village Road,Dry,Daylight,Signals,30,59,Male,Expired,No,Straight Road,Night,0,0,1,0,0
Other,June,Wednesday,0,4,Auto-Rickshaw,8,1,Clear,State Highway,Damaged,Daylight,Unknown,35,42,Female,Valid,No,Bridge,Afternoon,0,0,0,1,0
Other,October,Saturday,0,1,Pedestrian,9,1,Rainy,State Highway,Dry,Dark,Police Checkpost,57,29,Female,Unknown,No,Intersection,Afternoon,1,0,1,0,0
Other,March,Sunday,0,4,Car,9,1,Rainy,State Highway,Wet,Dawn,Police Checkpost,53,61,Female,Valid,No,Intersection,Afternoon,1,0,1,1,0
New Delhi,August,Wednesday,2,2,Cycle,2,2,Foggy,Village Road,Under Construction,Dusk,Signals,96,26,Male,Valid,Yes,Intersection,Night,0,0,1,0,0
Kolkata,May,Wednesday,2,2,Two-Wheeler,1,4,Clear,State Highway,Damaged,Dawn,Police Checkpost,38,21,Male,Valid,Yes,Curve,Evening,0,1,0,1,0
Other,December,Friday,0,5,Truck,2,4,Rainy,State Highway,Dry,Dark,Police Checkpost,84,45,Male,Expired,Yes,Straight Road,Evening,0,1,1,0,0
Durgapur,July,Saturday,0,2,Bus,0,4,Hazy,Village Road,Dry,Dark,Police Checkpost,53,65,Male,Expired,Yes,Curve,Evening,1,1,0,0,0
Other,May,Friday,1,5,Cycle,5,1,Foggy,National Highway,Dry,Daylight,Signals,45,49,Female,Expired,No,Curve,Afternoon,0,0,1,0,0
Other,August,Saturday,0,2,Two-Wheeler,2,3,Foggy,National Highway,Dry,Daylight,Signs,49,64,Female,Valid,No,Bridge,Morning,1,1,1,0,0
Other,December,Friday,2,1,Pedestrian,7,1,Hazy,Urban Road,Dry,Daylight,Unknown,102,61,Female,Expired,Yes,Curve,Afternoon,0,0,0,0,0
New Delhi,October,Wednesday,1,3,Cycle,4,4,Hazy,State Highway,Damaged,Dusk,Signals,111,22,Male,Unknown,Yes,Bridge,Night,0,0,0,1,0
Madurai,December,Wednesday,1,3,Two-Wheeler,10,2,Stormy,Urban Road,Damaged,Dark,Signals,90,54,Male,Valid,No,Curve,Morning,0,1,0,1,0
Other,January,Sunday,1,4,Pedestrian,9,5,Hazy,State Highway,Wet,Dark,Unknown,90,42,Female,Unknown,No,Straight Road,Evening,1,1,0,1,0
Other,July,Wednesday,1,2,Truck,8,1,Clear,Urban Road,Dry,Dark,Unknown,78,22,Male,Valid,No,Curve,Evening,0,1,0,0,0
Pune,April,Thursday,2,2,Cycle,10,1,Hazy,National Highway,Damaged,Dawn,Unknown,112,55,Female,Unknown,Yes,Straight Road,Night,0,0,0,1,0
Other,June,Friday,0,3,Pedestrian,4,2,Stormy,Urban Road,Under Construction,Dark,Signals,46,36,Male,Unknown,No,Intersection,Morning,0,1,0,0,0
Tirupati,August,Thursday,1,4,Bus,1,1,Stormy,Village Road,Dry,Dawn,Signs,45,53,Female,Expired,No,Bridge,Evening,0,1,0,0,0
Other,July,Friday,0,1,Truck,9,0,Foggy,Village Road,Dry,Dawn,Signals,78,40,Male,Expired,Yes,Intersection,Evening,0,1,1,0,0
Other,March,Thursday,1,1,Two-Wheeler,10,2,Foggy,State Highway,Under Construction,Dark,Unknown,119,27,Female,Expired,Yes,Curve,Evening,0,1,1,0,0
Other,November,Thursday,1,5,Pedestrian,6,3,Rainy,Urban Road,Wet,Dusk,Police Checkpost,37,60,Female,Unknown,Yes,Curve,Night,0,0,1,1,0
Madurai,June,Saturday,1,1,Truck,3,1,Foggy,Urban Road,Wet,Daylight,Unknown,58,70,Male,Unknown,Yes,Straight Road,Night,1,0,1,1,0
Other,July,Wednesday,1,1,Cycle,7,4,Rainy,State Highway,Wet,Dark,Signals,109,60,Male,Valid,No,Curve,Night,0,0,1,1,0
Visakhapatnam,December,Friday,0,4,Auto-Rickshaw,1,5,Foggy,Village Road,Wet,Dark,Signals,86,51,Female,Valid,Yes,Straight Road,Night,0,0,1,1,0
Varanasi,July,Saturday,0,1,Pedestrian,1,3,Foggy,Urban Road,Wet,Dawn,Unknown,30,59,Male,Valid,Yes,Bridge,Morning,1,1,1,1,0
Other,April,Wednesday,0,5,Pedestrian,9,2,Foggy,Urban Road,Damaged,Daylight,Unknown,81,54,Male,Unknown,No,Straight Road,Morning,0,1,1,1,0
Other,February,Sunday,0,2,Bus,2,2,Foggy,Urban Road,Damaged,Dusk,Police Checkpost,56,60,Female,Unknown,Yes,Curve,Afternoon,1,0,1,1,0
Other,September,Tuesday,2,4,Car,6,3,Rainy,Urban Road,Wet,Daylight,Signs,53,40,Female,Unknown,Yes,Bridge,Morning,0,1,1,1,0
Other,December,Sunday,0,3,Bus,8,2,Clear,State Highway,Under Construction,Daylight,Unknown,114,46,Female,Expired,Yes,Intersection,Evening,1,1,0,0,0
Bangalore,October,Friday,0,1,Pedestrian,2,3,Stormy,Urban Road,Dry,Dawn,Signs,97,37,Male,Expired,No,Straight Road,Afternoon,0,0,0,0,0
Other,January,Saturday,1,1,Car,8,2,Hazy,Village Road,Wet,Dawn,Unknown,109,51,Female,Expired,No,Intersection,Afternoon,1,0,0,1,0
Other,July,Saturday,1,4,Cycle,2,0,Rainy,National Highway,Dry,Dawn,Unknown,96,66,Male,Unknown,Yes,Curve,Morning,1,1,1,0,0
